timestamp,open,high,low,close,tick_volume,spread,real_volume
2025.04.28 12:00:00,3282.60,3302.19,3273.05,3296.12,29570,27,0
2025.04.28 16:00:00,3295.89,3339.13,3286.86,3336.44,54624,27,0
2025.04.28 20:00:00,3336.55,3352.84,3332.97,3343.92,25180,27,0
2025.04.29 00:00:00,3344.61,3348.43,3327.68,3329.85,15664,27,0
2025.04.29 04:00:00,3329.73,3339.94,3306.56,3309.12,35364,27,0
2025.04.29 08:00:00,3309.11,3324.76,3304.96,3311.76,26357,27,0
2025.04.29 12:00:00,3311.68,3315.93,3300.43,3312.78,27695,27,0
2025.04.29 16:00:00,3312.66,3329.91,3299.55,3328.66,47430,27,0
2025.04.29 20:00:00,3328.69,3329.59,3313.19,3317.01,20621,27,0
2025.04.30 00:00:00,3314.21,3327.95,3310.89,3312.99,13172,27,0
2025.04.30 04:00:00,3312.98,3322.61,3301.25,3307.89,26331,27,0
2025.04.30 08:00:00,3307.86,3314.53,3280.19,3284.30,27908,27,0
2025.04.30 12:00:00,3284.30,3304.66,3266.76,3298.63,40441,27,0
2025.04.30 16:00:00,3298.56,3319.67,3292.83,3310.70,55718,27,0
2025.04.30 20:00:00,3310.67,3313.41,3282.89,3288.34,24081,27,0
2025.05.01 00:00:00,3286.69,3289.78,3240.92,3246.17,24336,27,0
2025.05.01 04:00:00,3246.17,3251.52,3221.19,3226.61,30669,27,0
2025.05.01 08:00:00,3226.48,3243.11,3223.32,3235.01,26563,27,0
2025.05.01 12:00:00,3235.01,3236.09,3201.76,3226.71,37352,27,0
2025.05.01 16:00:00,3226.58,3233.16,3204.85,3219.47,52381,27,0
2025.05.01 20:00:00,3219.49,3239.73,3209.74,3237.87,25168,27,0
2025.05.02 00:00:00,3238.78,3244.25,3227.35,3231.00,16153,27,0
2025.05.02 04:00:00,3231.26,3258.57,3231.24,3251.70,23721,27,0
2025.05.02 08:00:00,3251.52,3263.22,3246.33,3258.04,23214,27,0
2025.05.02 12:00:00,3258.06,3269.14,3250.15,3250.21,34264,27,0
2025.05.02 16:00:00,3250.24,3264.43,3222.67,3224.89,68787,27,0
2025.05.02 20:00:00,3224.86,3241.11,3223.46,3240.84,31460,27,0
2025.05.05 00:00:00,3239.08,3252.27,3237.35,3246.60,17360,27,0
2025.05.05 04:00:00,3246.61,3272.29,3246.45,3256.39,31232,27,0
2025.05.05 08:00:00,3256.37,3282.80,3253.95,3282.55,29231,27,0
2025.05.05 12:00:00,3282.56,3322.42,3282.09,3319.44,44277,27,0
2025.05.05 16:00:00,3319.43,3328.65,3305.47,3309.63,51836,27,0
2025.05.05 20:00:00,3309.61,3337.49,3309.00,3333.73,25213,27,0
2025.05.06 00:00:00,3335.63,3337.78,3322.68,3329.51,16383,27,0
2025.05.06 04:00:00,3329.52,3386.95,3329.52,3363.04,56205,27,0
2025.05.06 08:00:00,3363.06,3383.05,3350.11,3377.09,42765,27,0
2025.05.06 12:00:00,3377.09,3392.23,3371.29,3390.92,41160,27,0
2025.05.06 16:00:00,3391.13,3411.50,3378.13,3408.79,58249,27,0
2025.05.06 20:00:00,3408.79,3434.91,3407.32,3430.36,32031,27,0
2025.05.07 00:00:00,3437.46,3437.76,3360.52,3379.55,39062,27,0
2025.05.07 04:00:00,3378.98,3393.74,3360.10,3381.97,41044,27,0
2025.05.07 08:00:00,3382.02,3397.23,3378.12,3382.62,32950,27,0
2025.05.07 12:00:00,3382.67,3393.67,3369.16,3390.74,39760,27,0
2025.05.07 16:00:00,3390.77,3398.00,3375.71,3386.84,50687,27,0
2025.05.07 20:00:00,3386.84,3397.88,3363.59,3364.33,43905,27,0
2025.05.08 00:00:00,3365.66,3386.78,3364.06,3380.38,14457,27,0
2025.05.08 04:00:00,3380.37,3414.64,3379.00,3381.96,40786,27,0
2025.05.08 08:00:00,3381.97,3384.15,3320.17,3339.19,53870,27,0
2025.05.08 12:00:00,3339.22,3358.47,3330.23,3355.96,36491,27,0
2025.05.08 16:00:00,3356.04,3369.49,3304.33,3310.15,61954,27,0
2025.05.08 20:00:00,3310.07,3311.02,3288.68,3305.72,32776,27,0
2025.05.09 00:00:00,3306.59,3323.88,3306.15,3322.09,18747,27,0
2025.05.09 04:00:00,3322.09,3327.40,3274.60,3324.60,45751,27,0
2025.05.09 08:00:00,3324.61,3332.07,3312.80,3328.46,34478,27,0
2025.05.09 12:00:00,3328.48,3338.26,3321.92,3333.44,29506,27,0
2025.05.09 16:00:00,3333.43,3347.40,3320.18,3336.74,49013,27,0
2025.05.09 20:00:00,3336.64,3342.79,3324.81,3326.49,20311,27,0
2025.05.12 00:00:00,3295.89,3295.89,3265.83,3278.98,26443,27,0
2025.05.12 04:00:00,3278.62,3284.67,3258.70,3278.75,39461,27,0
2025.05.12 08:00:00,3278.76,3281.49,3215.99,3231.29,55713,27,0
2025.05.12 12:00:00,3231.20,3234.27,3207.64,3233.45,45293,27,0
2025.05.12 16:00:00,3233.67,3248.54,3223.10,3224.05,58876,27,0
2025.05.12 20:00:00,3224.11,3238.72,3220.25,3234.80,25939,27,0
2025.05.13 00:00:00,3237.64,3243.16,3229.61,3239.81,14799,27,0
