episode_id,timestamp,outcome,source_tf,direction,penetration_per_atr,age_seconds
Daily-Low_2025.10.01__ep4,2025-10-02 08:00:00,INVALIDATED_NO_BREAK,PERIOD_H4,BUY,0.04051795704274234,115200.0
Daily-Low_2025.10.01__ep5,2025-10-02 22:15:00,INVALIDATED_NO_BREAK,PERIOD_M15,BUY,0.01781337520576098,166500.0
Equal-High_2025.10.02 05:25__ep1,2025-10-02 05:30:00,INVALIDATED_NO_BREAK,PERIOD_M5,SELL,0.0397456279809221,
Equal-High_2025.10.02 05:40__ep1,2025-10-02 05:45:00,INVALIDATED_NO_BREAK,PERIOD_M5,SELL,0.011840790128960135,
Equal-High_2025.10.02 15:40__ep1,2025-10-02 15:45:00,INVALIDATED_NO_BREAK,PERIOD_M5,SELL,0.09028601929508766,
Daily-High_2025.10.01__ep1,2025-10-02 16:45:00,TRUE_BREAK_OBSERVED,PERIOD_M15,SELL,0.20330102348683696,146700.0
Equal-High_2025.10.02 20:55__ep1,2025-10-02 21:00:00,INVALIDATED_NO_BREAK,PERIOD_M5,SELL,0.016845702390585658,
Equal-Low_2025.10.03 04:00__ep1,2025-10-03 05:00:00,INVALIDATED_NO_BREAK,PERIOD_H1,BUY,0.03880612942814318,
Equal-Low_2025.10.03 06:10__ep1,2025-10-03 06:15:00,INVALIDATED_NO_BREAK,PERIOD_M5,BUY,0.010047013092297405,
Equal-Low_2025.10.03 08:10__ep1,2025-10-03 08:15:00,INVALIDATED_NO_BREAK,PERIOD_M5,BUY,0.14144329896907215,
Equal-Low_2025.10.03 08:00__ep1,2025-10-03 08:30:00,INVALIDATED_NO_BREAK,PERIOD_M30,BUY,0.03205994766989186,
Equal-Low_2025.10.03 10:30__ep1,2025-10-03 11:00:00,INVALIDATED_NO_BREAK,PERIOD_M30,BUY,0.03341826592221866,
Asia-High_2025.10.03__ep2,2025-10-03 15:00:00,INVALIDATED_NO_BREAK,PERIOD_H1,SELL,0.01695224265376164,54000.0
Equal-Low_2025.10.03 20:55__ep1,2025-10-03 21:00:00,INVALIDATED_NO_BREAK,PERIOD_M5,BUY,0.0391681109185442,
Asia-Low_2025.10.06__ep1,2025-10-06 00:00:00,TRUE_BREAK_OBSERVED,PERIOD_D1,BUY,0.0847838279115901,0.0
