time,open,high,low,close,tick_volume
2026.04.01 16:00,4724.6,4790.55,4716.12,4787.09,97789
2026.04.01 20:00,4786.9,4792.83,4741.88,4758.03,69392
2026.04.02 00:00,4758.02,4800.13,4752.68,4784.43,40830
2026.04.02 04:00,4784.44,4786.38,4650.94,4672.44,96710
2026.04.02 08:00,4672.45,4680.44,4553.59,4620.66,95848
2026.04.02 12:00,4620.64,4634.89,4592.56,4601.73,77807
2026.04.02 16:00,4601.79,4699.23,4580.69,4658.88,123750
2026.04.02 20:00,4658.93,4681.61,4645.65,4675.94,62246
2026.04.06 00:00,4648.57,4665.62,4600.72,4622.2,53895
2026.04.06 04:00,4622.42,4671.78,4620.37,4658.85,64446
2026.04.06 08:00,4658.86,4698.0,4643.6,4695.63,55331
2026.04.06 12:00,4695.83,4706.46,4659.64,4675.71,54013
2026.04.06 16:00,4675.71,4697.47,4651.94,4660.22,88504
2026.04.06 20:00,4660.24,4666.42,4645.39,4650.31,48348
2026.04.07 00:00,4651.18,4668.0,4648.88,4654.76,29142
2026.04.07 04:00,4654.74,4664.31,4616.34,4659.52,70229
2026.04.07 08:00,4660.27,4690.68,4622.96,4682.67,74252
2026.04.07 12:00,4682.66,4694.4,4628.67,4651.48,78629
2026.04.07 16:00,4651.52,4668.56,4607.31,4656.93,105861
2026.04.07 20:00,4656.91,4718.44,4653.74,4705.48,79641
2026.04.08 00:00,4719.9,4857.5,4712.92,4817.69,75691
2026.04.08 04:00,4817.68,4825.18,4787.88,4803.42,69196
2026.04.08 08:00,4803.4,4843.65,4790.14,4793.68,65983
2026.04.08 12:00,4793.64,4807.04,4769.05,4799.49,62177
2026.04.08 16:00,4799.5,4806.54,4732.12,4760.37,97807
2026.04.08 20:00,4760.31,4764.25,4699.53,4719.13,66540
2026.04.09 00:00,4719.67,4733.95,4698.58,4706.65,40221
2026.04.09 04:00,4706.36,4732.82,4699.42,4720.77,59041
2026.04.09 08:00,4720.83,4732.98,4703.44,4726.11,57841
2026.04.09 12:00,4726.06,4759.51,4722.8,4745.85,50042
