server,login,trade_mode,symbol,probe_month_start,probe_to_plus7d,ticks_found,first_tick_in_probe,last_tick_in_probe,err
XMGlobal-MT5 10,345277936,DEMO,XAUJPY,2026.06.24,2026.07.01,2721681,2026.06.24 01:00:02,2026.06.30 23:58:58,0
XMGlobal-MT5 10,345277936,DEMO,XAUJPY,2026.07.24,2026.07.31,2606606,2026.07.24 01:00:02,2026.07.30 23:58:59,0
XMGlobal-MT5 10,345277936,DEMO,XAUJPY,2026.08.23,2026.08.30,2187258,2026.08.24 01:00:07,2026.08.28 23:57:59,0
XMGlobal-MT5 10,345277936,DEMO,GOLD24-7,2023.09.08,2023.09.15,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,GOLD24-7,2023.10.08,2023.10.15,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,GOLD24-7,2023.11.07,2023.11.14,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,GOLD24-7,2023.12.07,2023.12.14,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,GOLD24-7,2024.01.06,2024.01.13,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,GOLD24-7,2024.02.05,2024.02.12,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,GOLD24-7,2024.03.06,2024.03.13,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,GOLD24-7,2024.04.05,2024.04.12,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,GOLD24-7,2024.05.05,2024.05.12,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,GOLD24-7,2024.06.04,2024.06.11,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,GOLD24-7,2024.07.04,2024.07.11,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,GOLD24-7,2024.08.03,2024.08.10,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,GOLD24-7,2024.09.02,2024.09.09,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,GOLD24-7,2024.10.02,2024.10.09,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,GOLD24-7,2024.11.01,2024.11.08,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,GOLD24-7,2024.12.01,2024.12.08,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,GOLD24-7,2024.12.31,2025.01.07,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,GOLD24-7,2025.01.30,2025.02.06,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,GOLD24-7,2025.03.01,2025.03.08,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,GOLD24-7,2025.03.31,2025.04.07,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,GOLD24-7,2025.04.30,2025.05.07,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,GOLD24-7,2025.05.30,2025.06.06,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,GOLD24-7,2025.06.29,2025.07.06,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,GOLD24-7,2025.07.29,2025.08.05,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,GOLD24-7,2025.08.28,2025.09.04,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,GOLD24-7,2025.09.27,2025.10.04,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,GOLD24-7,2025.10.27,2025.11.03,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,GOLD24-7,2025.11.26,2025.12.03,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,GOLD24-7,2025.12.26,2026.01.02,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,GOLD24-7,2026.01.25,2026.02.01,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,GOLD24-7,2026.02.24,2026.03.03,0,-,-,0
